"payload","label"
"-2625""   )    )    as qfuo where 1980  =  1980 union all select 1980,1980,1980--","SQLi"
"02340","Normal"
"1""  )  )   and make_set ( 8403 = 8403,8899 )  and   (  (  ""ieuj"" like ""ieuj","SQLi"
"%%c0%6e%c0%6e\%%c0%6e%c0%6e\%%c0%6e%c0%6e\%%c0%6e%c0%6e\windows\system32\drivers\etc\hosts","Suspicious"
"SELECT enemy, pay+ ', ' + process+ ' ' + myself+ ', ' + hold AS value  FROM stick","Normal"
"12466","Normal"
".?%c1%1c.?%c1%1c.?%c1%1c.?%c1%1c.?%c1%1cetc%c1%1cissue","Suspicious"
"%c0%ee%c0%ee%c1%8s%c0%ee%c0%ee%c1%8setc%c1%8spasswd","Suspicious"
"sinesio","Normal"
"<main id=x tabindex=1 onfocusin=alert(1)></main>","XSS"
"1""  )   where 1793  =  1793","SQLi"
"cropper","Normal"
"-3347'+  (  select xuzs where 1076  =  1076 union all select 1076,1076,1076,1076,1076--","SQLi"
"1""  )  )   union all select null,null,null,null#","SQLi"
"%2e.0x2fboot.ini","Suspicious"
"1 )  where 6950 = 6950 rlike  ( select * from  ( select ( sleep ( 5  )  )   ) sgvo ) --","SQLi"
"%e0%80%ae%e0%80%ae%uF025%e0%80%ae%e0%80%ae%uF025%e0%80%ae%e0%80%ae%uF025%e0%80%ae%e0%80%ae%uF025%e0%80%ae%e0%80%ae%uF025%e0%80%ae%e0%80%ae%uF025etc%uF025issue","Suspicious"
"general castaos 180 9-e","Normal"
"select like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and   (  '%'  =  '","SQLi"
"-8506'  )  )   )  union all select 1950,1950,1950,1950,1950,1950--","SQLi"
"<a href=""/wiki/Kernel_methods"" class=""mw-redirect"" title=""Kernel methods"">kernel methods </a> such as the <a href=""/wiki/Support_vector_machine"" class=""mw-redirect"" title=""Support vector machine"">support vector machine </a>:","Normal"
"-4543""  )   or 3038  =  3038","SQLi"
".\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\.\../../../../../../windows\system32\drivers\etc\hosts","Suspicious"
"..\\..\\boot.ini","Suspicious"
